USWTDB_ID,Longitude,Latitude,Plant_Code
Cimarron I,-100.25789000000,37.86479600000,57762
Shannon,-98.38777900000,33.46732300000,59034
Cimarron I,-100.23339000000,37.89169300000,57762
Shannon,-98.32888000000,33.53471400000,59034
Cimarron I,-100.27629000000,37.87959300000,57762
Shannon,-98.36888100000,33.48415800000,59034
Cimarron II,-100.41469000000,37.88329300000,57663
Shannon,-98.34583300000,33.52416600000,59034
Cimarron I,-100.31129000000,37.86019500000,57762
Shannon,-98.35343200000,33.53386300000,59034
Cimarron II,-100.38089000000,37.90149300000,57663
Shannon,-98.36234300000,33.48544300000,59034
Cimarron II,-100.33339000000,37.93839300000,57663
Shannon,-98.35862000000,33.52139700000,59034
Cimarron II,-100.35219000000,37.93589400000,57663
Shannon,-98.32582900000,33.52304800000,59034
Cimarron II,-100.40309000000,37.87269200000,57663
Shannon,-98.34640500000,33.51031100000,59034
Cimarron II,-100.39439000000,37.90279400000,57663
Shannon,-98.33943900000,33.52527200000,59034
Cimarron II,-100.37169000000,37.90129500000,57663
Shannon,-98.34029400000,33.51253500000,59034
Cimarron II,-100.36879000000,37.92719300000,57663
Shannon,-98.38672600000,33.49779900000,59034
Cimarron II,-100.34329000000,37.93589400000,57663
Shannon,-98.39922300000,33.48572900000,59034
Cimarron II,-100.38939000000,37.92719300000,57663
Shannon,-98.35918400000,33.50889200000,59034
Cimarron II,-100.38919000000,37.87259300000,57663
Shannon,-98.37860900000,33.50879700000,59034
Cimarron I,-100.30319000000,37.87969600000,57762
Shannon,-98.38945800000,33.47777200000,59034
Cimarron I,-100.26209000000,37.86449400000,57762
Shannon,-98.39974200000,33.50667600000,59034
Cimarron I,-100.23889000000,37.89349400000,57762
Shannon,-98.38737500000,33.53712500000,59034
Cimarron I,-100.29819000000,37.89189500000,57762
Shannon,-98.39054900000,33.46727000000,59034
Cimarron I,-100.24769000000,37.89309300000,57762
Shannon,-98.38971700000,33.51888300000,59034
Cimarron I,-100.29329000000,37.86069500000,57762
Shannon,-98.39555400000,33.50777100000,59034
Cimarron I,-100.27239000000,37.84959400000,57762
Shannon,-98.37168900000,33.48332200000,59034
Cimarron I,-100.23048000000,37.86426200000,57762
Shannon,-98.41083500000,33.49472000000,59034
Cimarron I,-100.26659000000,37.86459400000,57762
Shannon,-98.38694800000,33.48612200000,59034
Cimarron I,-100.30699000000,37.85929500000,57762
Shannon,-98.37223100000,33.50892600000,59034
Cimarron I,-100.29849000000,37.87969600000,57762
Shannon,-98.32555400000,33.53360400000,59034
Cimarron I,-100.25739000000,37.87959300000,57762
Shannon,-98.38917500000,33.49807000000,59034
Cimarron I,-100.24389000000,37.89289500000,57762
Shannon,-98.34305600000,33.53388600000,59034
Cimarron I,-100.24749000000,37.84989500000,57762
Shannon,-98.37973800000,33.47168700000,59034
Cimarron I,-100.27119000000,37.86369300000,57762
Shannon,-98.37722000000,33.52888500000,59034
Cimarron I,-100.24679000000,37.87949400000,57762
Shannon,-98.34334600000,33.51077300000,59034
Cimarron I,-100.28909000000,37.89359300000,57762
Shannon,-98.34916700000,33.52361300000,59034
Cimarron I,-100.28039000000,37.87959300000,57762
Shannon,-98.37720500000,33.53705600000,59034
Cimarron I,-100.28459000000,37.84749200000,57762
Shannon,-98.35139500000,33.49835600000,59034
Cimarron I,-100.28449000000,37.89349400000,57762
Shannon,-98.37713600000,33.47221400000,59034
Cimarron I,-100.27569000000,37.86379200000,57762
Shannon,-98.38250700000,33.50843800000,59034
Cimarron I,-100.29879000000,37.84849500000,57762
Shannon,-98.39588200000,33.47774900000,59034
Cimarron I,-100.23499000000,37.86409400000,57762
Shannon,-98.38671100000,33.47776400000,59034
Cimarron I,-100.22919000000,37.89169300000,57762
Shannon,-98.33834800000,33.50169400000,59034
Cimarron I,-100.25979000000,37.85039500000,57762
Shannon,-98.34444400000,33.50010700000,59034
Cimarron I,-100.32629000000,37.87979500000,57762
Shannon,-98.35249300000,33.52305600000,59034
Cimarron I,-100.27169000000,37.87959300000,57762
Shannon,-98.38028700000,33.51939000000,59034
Cimarron I,-100.30779000000,37.87969600000,57762
Shannon,-98.41165900000,33.47943500000,59034
Cimarron I,-100.29249000000,37.84809500000,57762
Shannon,-98.33265700000,33.50531000000,59034
Cimarron I,-100.25689000000,37.89319200000,57762
Settler's Trail,-87.56749700000,40.75299100000,57493
Cimarron I,-100.30799000000,37.84819400000,57762
Settler's Trail,-87.58359500000,40.74939300000,57493
Cimarron I,-100.28059000000,37.84869400000,57762
Settler's Trail,-87.55129200000,40.73509200000,57493
Settler's Trail,-87.62429000000,40.74469400000,57493
Settler's Trail,-87.53689600000,40.71249400000,57493
Settler's Trail,-87.53729200000,40.72279400000,57493
Settler's Trail,-87.53249400000,40.73599200000,57493
Settler's Trail,-87.53319500000,40.70869100000,57493
Settler's Trail,-87.60729200000,40.72929400000,57493
Settler's Trail,-87.52789300000,40.73959400000,57493
Settler's Trail,-87.54319800000,40.75399000000,57493
Settler's Trail,-87.61989600000,40.72049300000,57493
Settler's Trail,-87.54369400000,40.71589300000,57493
Settler's Trail,-87.61049700000,40.71969200000,57493
Settler's Trail,-87.53509500000,40.75959000000,57493
Settler's Trail,-87.59839600000,40.74799300000,57493
Settler's Trail,-87.57809400000,40.72359100000,57493
Settler's Trail,-87.54269400000,40.70739400000,57493
Settler's Trail,-87.61409800000,40.70069100000,57493
Settler's Trail,-87.52869400000,40.68619200000,57493
Settler's Trail,-87.58439600000,40.72069200000,57493
Settler's Trail,-87.53379100000,40.68869000000,57493
